Wall time,Step,Value
1648495179.9128468,70,0.8151775002479553
1648495184.8987849,388,2.12699294090271
1648495198.0891411,1034,2.317835569381714
1648495210.365963,1648,2.5634994506835938
1648495225.950733,2416,3.0777080059051514
1648495239.6113648,3090,2.921351909637451
1648495249.810047,3594,2.163259267807007
1648495258.5221457,4024,2.7623233795166016
1648495270.5592227,4618,2.8663809299468994
1648495283.8080513,5270,2.681212902069092
1648495296.4773424,5890,2.3380966186523438
1648495307.7190006,6445,2.67045259475708
1648495320.1621897,7058,2.4232194423675537
1648495333.1398811,7695,2.9144482612609863
1648495344.9425247,8276,2.48848032951355
1648495356.937285,8864,2.4982781410217285
1648495369.2295446,9469,2.4485106468200684
1648495377.9347067,9898,2.3529696464538574
1648495385.4764657,10270,3.887202262878418
1648495397.047136,10841,2.776571750640869
1648495408.543887,11407,2.790269136428833
1648495418.1288674,11879,2.7936761379241943
1648495430.5037818,12489,3.0533626079559326
1648495446.635555,13284,3.8290860652923584
1648495461.4375405,14010,2.3833436965942383
1648495474.5936131,14656,2.6686604022979736
1648495487.223657,15276,2.83609676361084
1648495500.0841465,15907,3.651073455810547
1648495514.2395961,16603,3.344385862350464
1648495531.0628195,17430,3.9778151512145996
1648495547.112384,18220,4.216866970062256
1648495562.8169196,18991,3.1432838439941406
1648495576.8705466,19681,3.7342398166656494
1648495590.29598,20340,3.499795436859131
1648495603.4806454,20987,3.491307258605957
1648495611.8120067,21396,2.898721218109131
1648495620.749149,21834,2.5275962352752686
1648495630.0086434,22288,2.8965914249420166
1648495638.4906373,22704,2.4264936447143555
1648495647.2482748,23133,3.3016743659973145
1648495658.1066258,23662,3.2538444995880127
1648495668.499339,24171,3.3771097660064697
1648495679.9521458,24731,3.904279947280884
1648495691.8959458,25316,4.1913371086120605
1648495704.4455104,25930,4.634976863861084
1648495718.0306509,26592,4.2522873878479
1648495731.368493,27244,4.366396903991699
1648495745.082339,27915,3.839001178741455
1648495752.147419,28261,4.296032428741455
1648495762.745906,28780,2.5904152393341064
1648495773.7462428,29318,2.8673481941223145
1648495784.4655988,29842,2.70330810546875
1648495793.9401724,30305,2.7023439407348633
1648495804.0930812,30799,2.73199725151062
1648495814.3971632,31302,2.8883354663848877
1648495824.2219825,31782,2.9174036979675293
1648495833.9199476,32256,2.8350930213928223
1648495843.8486814,32741,3.345024824142456
1648495853.4889913,33212,3.002037286758423
1648495862.9050815,33672,3.2567038536071777
1648495873.028768,34167,2.22695255279541
1648495887.549944,34877,4.316667556762695
1648495903.0855086,35636,3.5690739154815674
1648495924.9367857,36703,2.9694440364837646
1648495942.4380496,37558,3.4654407501220703
1648495960.8195524,38456,3.391547203063965
1648495970.9817302,38952,2.5776994228363037
1648495981.47939,39464,2.812448740005493
1648495991.0141926,39929,2.5260815620422363
1648496000.0215294,40368,2.541193962097168
1648496008.6671777,40789,2.607436180114746
1648496018.5177383,41269,2.463052272796631
1648496028.72193,41766,2.5009968280792236
1648496039.8281384,42307,3.5922658443450928
1648496050.8698134,42844,3.677682876586914
1648496062.3198407,43401,3.143540859222412
1648496075.1547432,44025,4.094945430755615
1648496094.8258286,44981,4.419522285461426
1648496108.87169,45660,2.019857883453369
1648496127.7646525,46577,3.740917444229126
1648496146.4182048,47482,3.7622036933898926
1648496168.0503793,48531,3.127819776535034
1648496184.7994723,49343,4.123809337615967
1648496208.912706,50571,4.33419132232666
1648496230.121148,51724,0.6416947245597839
1648496254.5367126,53049,2.374894142150879
1648496271.6234672,53976,4.53073263168335
1648496291.6664772,55060,4.631331920623779
1648496303.3632233,55688,2.537618398666382
1648496316.0747356,56370,3.813718557357788
1648496337.2694664,57506,4.685996055603027
1648496358.8016274,58655,3.9716038703918457
1648496383.722978,59974,4.499274730682373
1648496431.6803482,62476,3.677476644515991
1648496458.7587988,63872,3.4351212978363037
1648496479.0313647,64910,3.6008026599884033
1648496501.6756237,66064,4.504943370819092
1648496530.8832252,67551,3.2045817375183105
1648496572.039252,69029,3.5047407150268555
1648496606.3986802,70517,3.919797897338867
1648496639.592686,72113,3.4353222846984863
1648496689.0668964,74537,4.510156154632568
1648496726.2166183,76358,3.831468343734741
1648496754.9720857,77763,4.55214786529541
1648496783.9332676,79174,4.648046016693115
1648496814.6538234,80658,3.6494791507720947
1648496849.6641989,82157,4.684830188751221
1648496883.872406,83616,3.66174578666687
1648496919.4886267,85128,3.76442289352417
1648496951.575921,86492,4.098104953765869
1648496981.1060483,87768,3.704620361328125
1648497010.1490703,89024,4.97784423828125
1648497046.7748477,90608,4.257683753967285
1648497090.6257472,92507,4.390404224395752
1648497120.3863137,93789,4.337761402130127
1648497151.1938505,95117,5.222172260284424
1648497183.1523125,96494,4.767152786254883
1648497214.6505198,97851,5.014459133148193
1648497240.034603,98943,4.725329399108887
1648497273.4740384,100346,4.543910980224609
1648497315.3272347,102105,5.181061267852783
1648497357.2916837,103861,4.95438289642334
1648497437.9827487,107234,4.253299713134766
1648497495.251655,109622,4.708538055419922
1648497496.8896236,109690,0.6653501987457275
1648497525.848718,110901,4.612395286560059
1648497565.138352,112543,4.306315898895264
1648497602.6246524,114107,4.7905402183532715
1648497639.7867324,115655,4.9721269607543945
1648497678.3021903,117259,3.58553409576416
1648497718.1421187,118918,3.950556755065918
1648497744.1663234,119996,3.5569825172424316
1648497774.651271,121288,3.150117874145508
